statecode,countycode,v051_rawvalue,v051_flag_CT
16,073,12748,
16,075,27662,
16,077,8381,
16,079,14074,
16,081,12932,
16,083,96509,
16,085,12777,
16,087,11539,
17,000,12710158,
17,001,64109,
17,003,4594,
17,005,16576,
17,007,53313,
17,009,6307,
17,011,32486,
17,013,4224,
17,015,15444,
17,017,12713,
17,019,212374,
17,021,33247,
17,023,15076,
17,025,12821,
17,027,37087,
17,029,46423,
17,031,5182617,
17,033,18388,
17,035,10305,
17,037,101335,
17,039,15319,
17,041,19824,
17,043,937142,
17,045,16398,
17,047,5984,
17,049,34602,
17,051,21157,
17,053,13451,
17,055,37033,
17,057,32510,
17,059,4690,
17,061,11417,
17,063,53835,
17,065,7818,
17,067,17008,
17,069,3550,
17,071,6048,
17,073,48177,
17,075,26067,
17,077,53199,
17,079,9092,
17,081,36107,
17,083,21150,
17,085,21528,
17,087,13320,
17,089,520997,
17,091,106410,
17,093,143171,
17,095,48716,
17,097,718604,
17,099,108390,
17,101,14801,
17,103,33544,
17,105,35375,
17,107,27518,
17,109,26662,
17,111,315959,
17,113,172069,
17,115,100737,
17,117,43895,
17,119,263017,
17,121,36437,
17,123,11552,
17,125,12543,
17,127,13627,
17,129,11963,
17,131,15292,
17,133,34969,
17,135,27615,
17,137,32618,
17,139,14365,
17,141,51345,
17,143,179630,
17,145,20272,
17,147,16628,
17,149,14258,
17,151,3703,
17,153,4879,
17,155,5633,
17,157,29903,
17,159,15362,
17,161,142731,
17,163,251149,
17,165,22826,
17,167,194345,
17,169,6750,
17,171,4880,
17,173,20542,
17,175,5272,
17,177,43088,
17,179,129821,
17,181,16886,
17,183,71106,
17,185,10979,
17,187,16217,
17,189,13535,
17,191,15928,
17,193,13395,
17,195,54657,
17,197,708583,
17,199,67064,
17,201,283790,
17,203,38290,
18,000,6924275,
18,001,36584,
18,003,399295,
18,005,84741,
18,007,8853,
18,009,11816,
18,011,78773,
18,013,15650,
18,015,20747,
18,017,37559,
18,019,127479,
18,021,26424,
18,023,32895,
18,025,10523,
18,027,34097,
18,029,51435,
18,031,26421,
18,033,44330,
18,035,112951,
18,037,43629,
18,039,207436,
18,041,23335,
18,043,81931,
18,045,16833,
18,047,23136,
18,049,20004,
18,051,33038,
18,053,66458,
18,055,31219,
18,057,379704,
18,059,88810,
18,061,39978,
18,063,190629,
18,065,49081,
18,067,84082,
18,069,36944,
18,071,47420,
18,073,33387,
18,075,20164,
18,077,32921,
18,079,27634,
18,081,170614,
18,083,35872,
18,085,80669,
18,087,41122,
18,089,502955,
18,091,111348,
18,093,45192,
18,095,134222,
18,097,981628,
18,099,46464,
18,101,9864,
18,103,35613,
18,105,140702,
18,107,38633,
18,109,73825,
18,111,14131,
18,113,47811,
18,115,5996,
18,117,19824,
18,119,21851,
18,121,16508,
18,123,19320,
18,125,12116,
18,127,175860,
18,129,25067,
18,131,12421,
18,133,37804,
18,135,24337,
18,137,29214,
18,139,16759,
18,141,273744,
18,143,24751,
18,145,45654,
18,147,20192,
18,149,23463,
18,151,34862,
18,153,20768,
18,155,9988,
18,157,191650,
18,159,15324,
18,161,6884,
18,163,180387,
18,165,15516,
18,167,106166,
18,169,30777,
18,171,8451,
18,173,66339,
18,175,28345,
18,177,66410,
18,179,28798,
18,181,24833,
18,183,34885,
19,000,3241488,
19,001,7431,
19,003,3606,
19,005,14184,
19,007,12106,
19,009,5562,
19,011,25799,
19,013,132348,
19,015,26729,
19,017,25328,
19,019,20733,
19,021,20816,
19,023,14156,
19,025,9711,
19,027,20407,
19,029,13024,
19,031,18231,
19,033,42493,
19,035,11658,
19,037,11719,
19,039,9524,
19,041,16474,
19,043,16931,
19,045,46015,
19,047,16378,
19,049,115343,
19,051,9193,
19,053,7656,
19,055,17609,
19,057,38411,
19,059,18158,
19,061,99242,
19,063,9162,
19,065,19152,
19,067,15008,
19,069,10024,
19,071,6494,
19,073,8662,
19,075,12405,
19,077,10774,
19,079,14856,
19,081,10616,
19,083,16464,
19,085,14626,
19,087,19361,
19,089,9360,
19,091,9617,
19,093,6810,
19,095,16423,
19,097,19390,
19,099,38107,
19,101,15781,
19,103,160080,
19,105,21116,
19,107,9855,
19,109,14408,
19,111,32376,
19,113,231762,
19,115,10630,
19,117,8758,
19,119,12378,
19,121,17161,
19,123,22034,
19,125,34048,
19,127,40392,
19,129,14717,
19,131,10632,
19,133,8429,
19,135,7373,
19,137,10063,
19,139,42132,
19,141,14260,
19,143,6036,
19,145,15038,
19,147,8809,
19,149,25825,
19,151,7006,
19,153,516185,
19,155,93529,
19,157,18454,
19,159,4608,
19,161,9533,
19,163,175601,
19,165,11821,
19,167,36554,
19,169,102498,
19,171,16738,
19,173,5825,
19,175,11955,
19,177,7217,
19,179,35681,
19,181,56343,
19,183,22631,
19,185,6622,
19,187,36909,
19,189,10383,
19,191,19723,
19,193,107257,
19,195,7307,
19,197,12729,
20,000,2970606,
20,001,12425,
20,003,7908,
20,005,16249,
20,007,4070,
20,009,24835,
20,011,14424,
20,013,9142,
20,015,69158,
20,017,2507,
20,019,3339,
20,021,19133,
20,023,2646,
20,025,1873,
20,027,7969,
20,029,8723,
20,031,8301,
20,033,1694,
20,035,34186,
20,037,38904,
20,039,2716,
20,041,18621,
20,043,7575,
20,045,121989,
20,047,2731,
20,049,2436,
20,051,29007,
20,053,6316,
20,055,38354,
20,057,34072,
20,059,26273,
20,061,35459,
20,063,2658,
20,065,2370,
20,067,7097,
20,069,5730,
20,071,1152,
20,073,5871,
20,075,2488,
20,077,5413,
20,079,33642,
20,081,3591,
20,083,1673,
20,085,13525,
20,087,18332,
20,089,2899,
20,091,632276,
20,093,3808,
20,095,6946,
20,097,2436,
20,099,19692,
20,101,1482,
20,103,84670,
20,105,2928,
20,107,9841,
20,109,2694,
20,111,32520,
20,113,30334,
20,115,11670,
20,117,9950,
20,119,3892,
20,121,35737,
20,123,5803,
20,125,30459,
20,127,5279,
20,129,2485,
20,131,10062,
20,133,15552,
20,135,2617,
20,137,5335,
20,139,15737,
20,141,3353,
20,143,5853,
20,145,6012,
20,147,4733,
20,149,26876,
20,151,9137,
20,153,2432,
20,155,61417,
20,157,4613,
20,159,9284,
20,161,72557,
20,163,4748,
20,165,2810,
20,167,6620,
20,169,53459,
20,171,4914,
20,173,536081,
20,175,21276,
20,177,177942,
20,179,2397,
20,181,5796,
20,183,3541,
20,185,3901,
20,187,2071,
20,189,5035,
20,191,22336,
20,193,7802,
20,195,2774,
20,197,7112,
20,199,1472,
20,201,5572,
