statecode,countycode,v153_numerator,v153_denominator,v153_rawvalue,v153_cilow,v153_cihigh
01,079,11129,13627,0.8166874587216555,0.788929417974484,0.844445499468827
01,081,46064,69436,0.6634022697159975,0.6498473762487489,0.6769571631832461
01,083,31777,40953,0.7759382707005592,0.7567895281556297,0.7950870132454887
01,085,3321,4284,0.7752100840336135,0.7344481824669578,0.8159719856002692
01,087,4454,7237,0.6154483902169408,0.5805761184442231,0.6503206619896584
01,089,112734,165031,0.6831080221291758,0.6727161947484739,0.6934998495098776
01,091,5548,7898,0.7024563180552038,0.669178579614669,0.7357340564957386
01,093,8148,10614,0.7676653476540418,0.7485019124678469,0.7868287828402367
01,095,27625,36459,0.7577004306206973,0.7412083339894403,0.7741925272519542
01,097,106752,161665,0.660328456994402,0.6501069183774635,0.6705499956113405
01,099,5280,7363,0.7170990085562949,0.6732574987337165,0.7609405183788733
01,101,52783,91381,0.5776146025979142,0.5627358610609282,0.5924933441349002
01,103,35644,49040,0.7268352365415987,0.707856459323104,0.7458140137600933
01,105,2667,3440,0.7752906976744186,0.7224959512032212,0.828085444145616
01,107,5128,6764,0.7581312832643406,0.7275892041532127,0.7886733623754686
01,109,7657,12484,0.6133450817045819,0.5896186938770286,0.6370714695321352
01,111,7158,9271,0.772084996224787,0.7471241271223951,0.7970458653271789
01,113,14676,23938,0.6130837998161919,0.5840300305436188,0.642137569088765
01,115,29001,35107,0.8260745720226735,0.8069585535880409,0.8451905904573062
01,117,70672,86866,0.8135749315036953,0.8013143028404951,0.8258355601668955
01,119,3224,4823,0.6684636118598383,0.6288431774261688,0.7080840462935077
01,121,24209,33644,0.719563666627036,0.6975324803283945,0.7415948529256774
01,123,12989,17076,0.7606582337784025,0.7336775824566555,0.7876388851001495
01,125,55297,90052,0.6140563230133701,0.6010777300175768,0.6270349160091634
01,127,19330,25388,0.7613833307074208,0.7417656964739155,0.7810009649409261
01,129,5116,5963,0.8579574039912795,0.8087798551826128,0.9071349527999463
01,131,2988,3860,0.7740932642487046,0.7234735631102898,0.8247129653871195
01,133,7140,9420,0.7579617834394905,0.7326433413274257,0.7832802255515553
02,000,180833,270533,0.6684323169446981,0.6606414732785867,0.6762231606108094
02,013,671,1045,0.6421052631578947,0.573967134512269,0.7102433918035205
