statecode,countycode,v168_flag_CT,v168_numerator,v168_denominator,v168_rawvalue,v168_cilow,v168_cihigh
05,045,,74538,79837,0.9336272655535653,0.9240769147439962,0.9431776163631345
05,047,,10652,12200,0.8731147540983607,0.8405494916025004,0.905680016594221
05,049,,7990,9046,0.8832633208047755,0.8470472323693298,0.9194794092402213
05,051,,66264,73124,0.9061867512718123,0.8948730839775692,0.9175004185660554
05,053,,11662,12851,0.9074780172749203,0.8873096885131464,0.9276463460366942
05,055,,27301,31462,0.8677452164515924,0.8491953162814024,0.8862951166217824
05,057,,10834,13149,0.8239409841052552,0.8014081127529893,0.8464738554575211
05,059,,21591,24053,0.8976427056915978,0.880393514461678,0.9148918969215175
05,061,,7294,8315,0.8772098616957306,0.8495788890569225,0.9048408343345387
05,063,,22268,25236,0.88239023617055,0.859363753687414,0.905416718653686
05,065,,9045,10548,0.8575085324232082,0.8317334481517248,0.8832836166946917
05,067,,10107,11899,0.8493991091688378,0.8171454525653371,0.8816527657723384
05,069,,39266,44396,0.8844490494639157,0.8695430015316764,0.8993550973961549
05,071,,14546,17252,0.8431486204498029,0.8176868983724551,0.8686103425271506
05,073,,3662,4494,0.8148642634623943,0.7641710763655026,0.8655574505592859
05,075,,9103,10946,0.8316279919605335,0.8047405019084124,0.8585154820126546
05,077,,4721,5913,0.7984102824285473,0.7591875219843152,0.8376330428727794
05,079,,8071,9818,0.8220615196577714,0.7888487515184042,0.8552742877971387
05,081,,7606,8330,0.9130852340936375,0.887881177954258,0.938289290233017
05,083,,13480,15243,0.8843403529488946,0.8617821136367926,0.9068985922609966
05,085,,45971,50693,0.9068510445229124,0.8925195366443495,0.9211825524014754
05,087,,10540,12220,0.8625204582651391,0.8317548425345306,0.8932860739957477
05,089,,11231,13125,0.8556952380952381,0.828902824383368,0.8824876518071081
05,091,,24801,28806,0.8609664653197251,0.8381368300567995,0.8837961005826507
05,093,,22000,25607,0.85914007888468,0.8410928523489707,0.8771873054203894
05,095,,3774,4617,0.8174139051332033,0.7716376706912869,0.8631901395751198
