statecode,countycode,v067_race_black,v067_race_black_cilow,v067_race_black_cihigh,v067_race_white,v067_race_white_cilow,v067_race_white_cihigh,v067_race_hispanic,v067_race_hispanic_cilow,v067_race_hispanic_cihigh,v067_race_asian,v067_race_asian_cilow,v067_race_asian_cihigh,v067_race_aian,v067_race_aian_cilow,v067_race_aian_cihigh,v067_race_flag_CT
01,131,0.7276368491321762,0.6469405343917726,0.8083331638725798,0.94104134762634,0.8780511018587304,1,,,,,,,,,,
01,133,,,,0.7663043478260869,0.7163882695192799,0.8162204261328939,,,,,,,,,,
02,000,0.5600281932806015,0.509512307602127,0.610544078959076,0.6854311626590722,0.6762802772762264,0.694582048041918,0.6055212495459499,0.5717979429181022,0.6392445561737976,0.5800259732032561,0.5443536476334518,0.6156982987730604,0.45831080675196734,0.4340706783919561,0.48255093511197855,
02,013,,,,0.32222222222222224,0.21603293937387907,0.4284115050705654,,,,0.10385756676557864,0.018137718730413824,0.18957741480074347,0.5807770961145194,0.48867377282838137,0.6728804194006576,
02,016,,,,0.43829787234042555,0.36171307388907664,0.5148826707917744,0.20209059233449478,0.04075565757126537,0.3634255270977242,0.5634451019066403,0.4764895059690328,0.6504006978442478,0.3695652173913043,0.24759800608143245,0.4915324287011762,
02,020,0.6373006134969326,0.5693139000587109,0.7052873269351543,0.7365677957355461,0.721146355734622,0.7519892357364701,0.6537605057107967,0.6108863841225692,0.6966346272990241,0.6229929351316634,0.5719830631589139,0.674002807104413,0.6613522634702665,0.6042292996674675,0.7184752272730656,
02,050,,,,0.4403114186851211,0.34899949497329336,0.5316233423969489,,,,,,,0.15423211169284468,0.12731966321098281,0.18114456017470654,
02,060,,,,0.49049429657794674,0.25926808956771225,0.7217205035881813,,,,,,,,,,
02,063,,,,0.7434611250447868,0.6891227496356305,0.7977995004539431,,,,,,,,,,
02,066,,,,0.6325757575757576,0.5444921546024803,0.7206593605490348,,,,,,,0.7443609022556391,0.536332855065215,0.9523889494460632,
02,068,,,,0.35398230088495575,0.16761740794477942,0.5403471938251321,,,,,,,,,,
02,070,,,,0.2563106796116505,0.0027791155369135123,0.5098422436863874,,,,,,,0.32212581344902386,0.271697889911467,0.37255373698658073,
02,090,0.5266362252663622,0.38602415358017483,0.6672482969525496,0.7456278366111951,0.7096629746539788,0.7815926985684115,0.7145818935729095,0.6228503093417909,0.8063134778040281,0.5188755020080321,0.4347600087340744,0.60299099528198985,0.6962142197599261,0.5968311322647928,0.7955973072550595,
02,100,,,,0.6341085271317829,0.5651387661719705,0.7030782880915953,,,,,,,,,,
02,105,,,,0.3214990138067061,0.22566969105455414,0.41732833655885804,,,,,,,0.4392523364485981,0.32241686900437905,0.5560878038928172,
02,110,,,,0.6446191379777717,0.5925201107384673,0.6967181652170761,0.46403242147923,0.31830950333240016,0.6097553396260599,0.4550682961897915,0.35932556925141396,0.5508110231281691,0.7246932515337423,0.6207654266340391,0.8286210764334455,
