statecode,countycode,v136_numerator,v136_denominator,v136_rawvalue,v136_flag_CT,v136_cilow,v136_cihigh
06,059,284585,1066285,0.2668939354862912,,0.2618714766959636,0.2719163942766188
06,061,25650,152535,0.16815812764283608,,0.15854010998295737,0.1777761453027148
06,063,1205,8105,0.148673658235657,,0.11806672845202248,0.17928058801929153
06,065,182885,749975,0.24385479515983866,,0.23866512755289862,0.2490444627667787
06,067,122555,563855,0.21735197878887302,,0.21146870993279682,0.22323524764494923
06,069,4255,19850,0.21435768261964736,,0.18641700138051664,0.24229836385877807
06,071,173385,659930,0.2627324110132893,,0.25658826678940744,0.2688765552371712
06,073,293710,1149155,0.25558780147151605,,0.25106431913415117,0.26011128380888093
06,075,85390,360840,0.23664227912648264,,0.229802210782421,0.24348234747054429
06,077,58160,237425,0.24496156681057177,,0.23565929645240657,0.25426383716873696
06,079,23485,108100,0.21725254394079557,,0.20416108137605576,0.23034400650553538
06,081,62070,264325,0.2348245531069706,,0.22698124866332006,0.24266785755062112
06,083,42210,148030,0.2851449030601905,,0.27369297021608086,0.2965968359043002
06,085,143130,650350,0.22008149457984164,,0.21475236837062206,0.2254106207890612
06,087,24570,96485,0.25465098201793024,,0.2383511441457034,0.27095081989015707
06,089,14180,71105,0.19942338794740172,,0.18623412680160317,0.21261264909320027
06,091,240,1135,0.21145374449339208,,0.10915724984890238,0.3137502391378818
06,093,3465,18770,0.18460309003729355,,0.16369468390310027,0.20551149617148684
06,095,32410,154985,0.2091170113236765,,0.19947145535908428,0.2187625672882687
06,097,41540,189655,0.2190292900266273,,0.2100527546787781,0.2280058253744765
06,099,41765,175745,0.23764545221770178,,0.22720473449725195,0.2480861699381516
06,101,6595,33040,0.19960653753026633,,0.17911734994853376,0.2200957251119989
06,103,5170,24625,0.2099492385786802,,0.18267801004389742,0.23722046711346298
06,105,1030,5485,0.18778486782133091,,0.1286962153997851,0.24687352024287673
06,107,33955,140670,0.24138053600625578,,0.228639141922989,0.25412193008952255
06,109,4130,22830,0.1809023215067893,,0.15314497574115415,0.20865966727242446
06,111,65405,275655,0.2372712267145526,,0.22909767006434523,0.24544478336476
06,113,19080,76105,0.2507062610866566,,0.23646080048685764,0.2649517216864556
06,115,5815,27565,0.21095592236531835,,0.18856122749104165,0.23335061723959505
08,000,370785,2278045,0.16276456347438265,,0.1601659702172019,0.1653631567315634
08,001,33075,181210,0.1825230395673528,,0.17420900793196362,0.190837071202742
08,003,1015,6470,0.15687789799072643,,0.11095273574794656,0.2028030602335063
08,005,43280,250750,0.17260219341974078,,0.16553750181058663,0.17966688502889494
08,007,890,5740,0.15505226480836237,,0.1203906601932682,0.18971386942345653
08,009,230,1585,0.14511041009463724,,0.09948485484103738,0.1907359653482371
08,011,350,1810,0.19337016574585636,,0.11905751543535131,0.2676828160563614
08,013,25835,133390,0.19368018592098357,,0.18324466992813038,0.20411570191383677
08,014,3475,30105,0.11542933067596745,,0.10002299647435214,0.13083566487758275
08,015,1920,9065,0.21180364037506894,,0.15816552793097266,0.2654417528191652
08,017,55,740,0.07432432432432433,,0.017731997756914204,0.13091665089173446
08,019,565,4590,0.12309368191721133,,0.07776297522756648,0.16842438860685618
08,021,535,3085,0.17341977309562398,,0.13121988225907164,0.21561966393217633
08,023,265,1530,0.17320261437908496,,0.11213098983486701,0.2342742389233029
08,025,160,1315,0.12167300380228137,,0.07080588272444233,0.1725401248801204
08,027,300,2180,0.13761467889908258,,0.08218712037198284,0.19304223742618232
08,029,1920,12265,0.15654300856094577,,0.12670757621039055,0.186378440911501
08,031,60300,322965,0.18670753796851053,,0.17846553711257157,0.1949495388244495
08,033,105,1185,0.08860759493670886,,0.02239629317361176,0.15481889669980597
08,035,15525,131970,0.11764037281200272,,0.1078948879552419,0.12738585766876354
08,037,4340,20085,0.21608165297485685,,0.18214538648450934,0.25001791946520435
08,039,930,9515,0.09774040987913821,,0.0771762794923769,0.11830454026589951
08,041,43600,276370,0.1577595252740891,,0.14955853527172142,0.16596051527645678
08,043,2465,17675,0.13946251768033946,,0.1125258425620964,0.1663991927985825
08,045,3220,22390,0.14381420276909335,,0.12058589709162452,0.16704250844656215
08,047,540,2855,0.18914185639229422,,0.11043269738183017,0.26785101540275824
08,049,840,6240,0.1346153846153846,,0.09858011850239257,0.17065065072837665
08,051,1365,7760,0.17590206185567012,,0.12623082105736716,0.22557330265397307
08,053,95,480,0.19791666666666666,,0.07616688672944633,0.319666446603887
08,055,400,2875,0.1391304347826087,,0.08276458861297517,0.19549628095224222
08,057,90,645,0.13953488372093023,,0.04532391088161922,0.23374585656024124
