statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
05,081,13,59376,24.458704728273837,21.89436809485314,12.638169644143428,42.72443494416331,,
05,083,35,106735,32.62354705712783,32.79149294982901,22.314482036765348,46.05471447477936,,
05,085,66,376201,17.27282212890036,17.543813014851104,13.30217777209685,22.057008245249676,,
05,087,31,86730,38.542072706765055,35.74311080364349,25.81223098635725,55.352845541732506,,
05,089,23,86129,25.588850681727216,26.704129851734027,14.906448500767135,40.97022877240613,,
05,091,47,212751,23.026020142229083,22.091553036178443,16.795337095388703,30.810626584842222,,
05,093,28,195381,15.689079634448184,14.330973840854535,10.339202338760828,22.826787159576252,,
05,095,,,,,,,,
05,097,13,43303,38.35256026507434,30.02101471029721,19.145459900876237,68.62332438372067,,
05,099,,,,,,,,
05,101,,,,,,,,
05,103,14,110999,11.535121673206007,12.612726240776944,5.960365693580277,20.149536166164744,,
05,105,16,50789,36.53778824969479,31.502884482860463,20.44992271960405,60.26352522516351,,
05,107,14,78131,22.039855910911964,17.918623849688345,11.735295040300148,37.688824836826704,,
05,109,14,51123,25.610986727421665,27.38493437396084,13.233570567655486,44.737239704548365,,
05,111,28,113135,23.487843110196707,24.74919344146374,15.34303893006115,34.415132184104465,,
05,113,33,97267,35.333286904254194,33.9272312295023,23.83922029972435,50.440464073487156,,
05,115,59,321610,20.715213335318992,18.34520070893318,15.689500284455443,26.83896162367454,,
05,117,14,40141,33.38439190902095,34.877058369248395,17.25020245757522,58.315814190217765,,
05,119,327,1991164,16.393786136084643,16.42255484731544,14.580449372607188,18.207122899562098,,
05,121,15,93896,14.580559178614541,15.975121410922723,7.9713273816136025,24.463700775011265,,
05,123,14,113795,12.801592361891306,12.302825255942702,6.816308779862212,21.89111281444018,,
05,125,141,637384,21.5792429288434,22.12167233567206,17.93182183932678,25.22666401836002,,
05,127,12,49479,26.659778758363366,24.25271327229734,13.308465501566133,47.70170838892883,,
05,129,11,39282,25.761055936342267,28.002647523038544,11.779595173386818,48.90250859704696,,
05,131,133,644182,19.961065022735884,20.64633907808663,16.482364922090472,23.439765123381296,,
05,133,16,79538,19.70800410649734,20.116170886871682,11.03042029203496,32.505355674325735,,
05,135,26,88954,34.82597095937252,29.228590057782675,22.076678181694962,52.25605583155888,,
05,137,22,63186,31.136514080004055,34.81783939480265,18.13816686805813,49.85257528365493,,
05,139,28,188716,16.202629167654198,14.837109731024396,10.677634717109829,23.573974767997473,,
05,141,28,80631,33.36103424831264,34.72609790279173,20.907182549619378,50.509006771397154,,
05,143,189,1277060,14.788363424922164,14.79961787230044,12.647022599614953,16.929704250229374,,
05,145,80,391234,20.218415794261176,20.448120562118834,15.90306659800202,25.343959275793562,,
05,147,,,,,,,,
05,149,26,101643,27.24194191516267,25.579725116338558,17.45442621175575,40.53385018474229,,
06,000,20795,196031712,10.04020701985079,10.607977550081284,9.901672952112417,10.178741087589163,,
06,001,752,8211124,8.510511144064179,9.158307681140851,7.8928260232779435,9.128196264850414,,
06,003,,,,,,,,
06,005,55,206591,24.73508970025912,26.622650551088867,18.174413539277985,32.892425641603346,,
06,007,171,1043862,15.800439640245527,16.3814757123068,13.327646888685976,18.273232391805077,,
06,009,54,232162,22.44302618613899,23.259620437453158,16.307137184134888,30.128715116599952,,
06,011,12,109500,10.362024598372445,10.958904109589042,5.172685345355999,18.540524292813515,,
06,013,582,5798344,9.461288249645936,10.037348594702213,8.674925786325533,10.247650712966339,,
06,015,36,136748,24.032530027510887,26.325796355339747,16.643225672931052,33.58305187302404,,
06,017,161,963830,15.55091433960138,16.704190573026363,12.969741399401439,18.132087279801322,,
06,019,510,5070976,10.223041079251285,10.05723553020168,9.325642930570142,11.120439227932428,,
06,021,23,141860,16.81428041909835,16.21316791202594,10.537420019595471,25.457022621754128,,
06,023,157,672662,21.962095678604875,23.3401024585899,18.409474492512416,25.514716864697334,,
06,025,59,899612,6.662113333136053,6.5583829473150645,5.045819579231619,8.631540558443184,,
06,027,17,92746,17.08147529736508,18.32963146658616,9.56037205593197,28.173295833646055,,
06,029,583,4571492,13.254052984549014,12.752948052845767,12.162567273688278,14.34553869540975,,
06,031,68,766711,8.971877810887568,8.869052354798614,6.938849648974292,11.414428376916455,,
06,033,72,337078,19.73997240114626,21.36004129607984,15.134523649101721,25.305753732857514,,
06,035,45,150280,27.43532956954596,29.944104338568003,19.855084045308036,36.9552088844778,,
