statecode,countycode,v136_other_data_1,v136_other_data_1_cilow,v136_other_data_1_cihigh,v136_other_data_2,v136_other_data_2_cilow,v136_other_data_2_cihigh,v136_other_data_3,v136_other_data_3_cilow,v136_other_data_3_cihigh,v136_other_flag_CT
02,170,0.11881824020552344,0.10755790156108304,0.13007857884996382,0.05293967930771189,0.04493748958010427,0.06094186903531951,0.030796640366505472,0.026018520678139964,0.03557476005487098,
02,180,0.08689407540394974,0.06527882087095332,0.10850932993694615,0.3123877917414722,0.28091866960602746,0.3438569138769169,0.26032315978456017,0.2339028400306903,0.28674347953843,
02,185,0.08079409048938135,0.027492322192323643,0.13409585878643906,0.2557603686635945,0.18996270970958137,0.32155802761760754,0.1152073732718894,0.0571113805725796,0.17330336597119922,
02,188,0.07453416149068323,0.04370437959830322,0.10536394338306324,0.3267605633802817,0.28113908313212543,0.37238204362843796,0.2028169014084507,0.1742708935072819,0.23136290930961953,
02,195,0.10264635124298316,0.05104615920273424,0.15424654328323206,0.01752988047808765,0.0017362372002921941,0.03332352375588311,0.03187250996015936,0.003119464034571324,0.060625555885747404,
02,198,0.07636207636207636,0.0481384331126649,0.10458571961148781,0.04925053533190578,0.029754572425266086,0.06874649823854548,0.06852248394004283,0.04521567331304733,0.09182929456703834,
02,220,0.11304853240337111,0.08195778918054947,0.14413927562619275,0.012427745664739885,0.0028736478271420805,0.02198184350233769,0.01878612716763006,0.007736589792236291,0.029835664543023825,
02,230,0.029556650246305417,0,0.11361463012092216,0.05365853658536585,0.011599935181347276,0.09571713798938443,0.03414634146341464,0,0.0731268291660695,
02,240,0.08249312557286893,0.032480863248978815,0.13250538789675906,0.0639269406392694,0.03350777419792418,0.09434610708061462,0.10730593607305935,0.07513887799214256,0.13947299415397615,
02,275,0.04967602591792657,0.009864401484168839,0.0894876503516843,0.012903225806451613,0,0.03916444825359436,0.004301075268817204,0,0.021533032205980553,
02,282,0.05217391304347826,0,0.20760842362058834,0.034782608695652174,0,0.14373438030624835,0.08260869565217391,0.004743242632602243,0.1604741486717456,
02,290,0.07335907335907337,0.041030612195705356,0.10568753452244137,0.14423076923076922,0.11064097051085879,0.17782056795067963,0.3798076923076923,0.32446980669050085,0.43514557792488373,
04,000,0.1278554551772064,0.1256750429420992,0.1300358674123136,0.044570640001314284,0.04323577825734649,0.04590550174528208,0.011315616061274819,0.010615802219416012,0.012015429903133626,
04,001,0.06370494551550712,0.049210279218170463,0.07819961181284378,0.1253474854687895,0.11052082082879457,0.14017415010878442,0.13318170331058882,0.11893921361562891,0.1474241930055487,
04,003,0.09435698221222653,0.08201590335259454,0.10669806107185853,0.024154589371980676,0.0190080983871764,0.029301080356784952,0.008756038647342996,0.004475080741740652,0.013036996552945341,
04,005,0.15582966226138031,0.13915704712224802,0.1725022774005126,0.071353014712953175,0.06086884004291933,0.08183718938298702,0.03788825848639292,0.032431080533432355,0.043345436439353485,
04,007,0.12569894878103333,0.10383617763310252,0.14756171992896414,0.04424389170151882,0.033376225121795944,0.0551115582812417,0.026194144838212634,0.015267674049718672,0.0371206156267066,
04,009,0.10025619128949616,0.076037002924457,0.12447537965453531,0.05823627287853577,0.03996772019966363,0.07650482555740791,0.019966722129783693,0.009825170526359022,0.030108273733208367,
04,011,0.039816232771822356,7.622532890002309e-4,0.07887021225464448,0.04084720121028744,0.0058378746988761165,0.07585652772169876,0.0030257186081694403,0,0.011750334133285545,
